time,court,status,reservation_link,court_id,date
11:00 a.m.,Court 9,Not available,,3,2025-08-17
12:00 p.m.,Court 10,Not available,,3,2025-08-17
12:00 p.m.,Court 9,Not available,,3,2025-08-17
1:00 p.m.,Court 10,Not available,,3,2025-08-17
1:00 p.m.,Court 9,Not available,,3,2025-08-17
2:00 p.m.,Court 10,Not available,,3,2025-08-17
2:00 p.m.,Court 9,Not available,,3,2025-08-17
3:00 p.m.,Court 10,Not available,,3,2025-08-17
3:00 p.m.,Court 9,Not available,,3,2025-08-17
4:00 p.m.,Court 10,Not available,,3,2025-08-17
4:00 p.m.,Court 9,Not available,,3,2025-08-17
5:00 p.m.,Court 10,Not available,,3,2025-08-17
5:00 p.m.,Court 9,Not available,,3,2025-08-17
6:00 p.m.,Court 10,Not available,,3,2025-08-17
6:00 p.m.,Court 9,Not available,,3,2025-08-17
7:00 p.m.,Court 10,Not available,,3,2025-08-17
7:00 p.m.,Court 9,Not available,,3,2025-08-17
8:00 p.m.,Court 10,Not available,,3,2025-08-17
8:00 p.m.,Court 9,Not available,,3,2025-08-17
9:00 p.m.,Court 10,Not available,,3,2025-08-17
9:00 p.m.,Court 9,Not available,,3,2025-08-17
10:00 p.m.,Court 10,Not available,,3,2025-08-17
10:00 p.m.,Court 9,Not available,,3,2025-08-17
6:00 a.m.,Court 10,Not available,,3,2025-08-18
6:00 a.m.,Court 9,Not available,,3,2025-08-18
7:00 a.m.,Court 10,Not available,,3,2025-08-18
7:00 a.m.,Court 9,Not available,,3,2025-08-18
8:00 a.m.,Court 10,Not available,,3,2025-08-18
8:00 a.m.,Court 9,Not available,,3,2025-08-18
9:00 a.m.,Court 10,Not available,,3,2025-08-18
9:00 a.m.,Court 9,Not available,,3,2025-08-18
10:00 a.m.,Court 10,Not available,,3,2025-08-18
10:00 a.m.,Court 9,Not available,,3,2025-08-18
11:00 a.m.,Court 10,Not available,,3,2025-08-18
11:00 a.m.,Court 9,Not available,,3,2025-08-18
12:00 p.m.,Court 10,Not available,,3,2025-08-18
12:00 p.m.,Court 9,Not available,,3,2025-08-18
1:00 p.m.,Court 10,Not available,,3,2025-08-18
1:00 p.m.,Court 9,Not available,,3,2025-08-18
2:00 p.m.,Court 10,Not available,,3,2025-08-18
2:00 p.m.,Court 9,Not available,,3,2025-08-18
3:00 p.m.,Court 10,Not available,,3,2025-08-18
3:00 p.m.,Court 9,Not available,,3,2025-08-18
4:00 p.m.,Court 10,Not available,,3,2025-08-18
4:00 p.m.,Court 9,Not available,,3,2025-08-18
5:00 p.m.,Court 10,Not available,,3,2025-08-18
5:00 p.m.,Court 9,Not available,,3,2025-08-18
6:00 p.m.,Court 10,Not available,,3,2025-08-18
6:00 p.m.,Court 9,Not available,,3,2025-08-18
7:00 p.m.,Court 10,Not available,,3,2025-08-18
7:00 p.m.,Court 9,Not available,,3,2025-08-18
8:00 p.m.,Court 10,Not available,,3,2025-08-18
8:00 p.m.,Court 9,Not available,,3,2025-08-18
9:00 p.m.,Court 10,Not available,,3,2025-08-18
9:00 p.m.,Court 9,Not available,,3,2025-08-18
10:00 p.m.,Court 10,Not available,,3,2025-08-18
10:00 p.m.,Court 9,Not available,,3,2025-08-18
6:00 a.m.,Court 10,Not available,,4,2025-08-12
6:00 a.m.,Court 11,Not available,,4,2025-08-12
6:00 a.m.,Court 12,Not available,,4,2025-08-12
7:00 a.m.,Court 10,Not available,,4,2025-08-12
7:00 a.m.,Court 11,Not available,,4,2025-08-12
7:00 a.m.,Court 12,Not available,,4,2025-08-12
8:00 a.m.,Court 10,Reserve this time,,4,2025-08-12
8:00 a.m.,Court 11,Reserve this time,,4,2025-08-12
8:00 a.m.,Court 12,Reserve this time,,4,2025-08-12
9:00 a.m.,Court 10,Reserve this time,,4,2025-08-12
9:00 a.m.,Court 11,Reserve this time,,4,2025-08-12
9:00 a.m.,Court 12,Reserve this time,,4,2025-08-12
10:00 a.m.,Court 10,Reserve this time,,4,2025-08-12
10:00 a.m.,Court 11,Reserve this time,,4,2025-08-12
